first_name,last_name,phone,region,registration_date,opt_out,source,email_raw,email_valid,source_priority,email,sources,source_count
Chris,Williams,+15551234567,APAC,2023-08-01,True,crm,customer601@yahoo.com,True,1,customer601@yahoo.com,"crm,website,erp",3.0
Léa,González,+442079460958,APAC,2021-06-01,True,crm,customer138@gmail.com,True,1,customer138@gmail.com,"crm,website",2.0
Müller,Brown,+442079460958,EU,2022-05-01,False,crm,customer394@yahoo.com,True,1,customer394@yahoo.com,"crm,website",2.0
Mike,Smith,02079460958,EU,2020-10-01,True,crm,customer74@company.com,True,1,customer74@company.com,"crm,website",2.0
Alex,Díaz,5551234567,US,2023-02-01,False,crm,customer85@yahoo.com,True,1,customer85@yahoo.com,"crm,website,erp",3.0
Sarah,Wang,+81312345678,US,2020-05-01,False,crm,customer520@yahoo.com,True,1,customer520@yahoo.com,"crm,erp",2.0
André,Díaz,5551234567,US,2020-11-01,False,crm,customer242@company.com,True,1,customer242@company.com,"crm,erp",2.0
O'Brien,Kim,+81312345678,EU,2023-12-01,True,crm,customer717@gmail.com,True,1,customer717@gmail.com,"crm,website,erp",3.0
Mike,López,02079460958,APAC,2023-07-01,False,crm,customer406@yahoo.com,True,1,customer406@yahoo.com,"crm,website",2.0
José,Díaz,+15551234567,US,2021-06-01,False,crm,customer157@yahoo.com,True,1,customer157@yahoo.com,"crm,erp",2.0
Mike,Garcia,+15551234567,EU,2021-08-01,True,crm,customer228@gmail.com,True,1,customer228@gmail.com,crm,1.0
Chris,López,02079460958,US,2021-12-01,False,crm,customer757@yahoo.com,True,1,customer757@yahoo.com,"crm,website",2.0
François,Garcia,+15551234567,APAC,2023-11-01,False,crm,customer115@yahoo.com,True,1,customer115@yahoo.com,"crm,website",2.0
Pat,Díaz,+81312345678,US,2022-08-01,False,crm,customer625@yahoo.com,True,1,customer625@yahoo.com,"crm,erp",2.0
Alex,Jones,+442079460958,APAC,2022-08-01,False,crm,customer139@yahoo.com,True,1,customer139@yahoo.com,"crm,website",2.0
Mike,Smith,5551234567,EU,2020-05-01,True,crm,customer664@yahoo.com,True,1,customer664@yahoo.com,"crm,website",2.0
Chris,Jones,+81312345678,US,2020-02-01,False,crm,customer656@company.com,True,1,customer656@company.com,"crm,website",2.0
Mike,Díaz,02079460958,APAC,2020-06-01,False,crm,customer675@gmail.com,True,1,customer675@gmail.com,"crm,website",2.0
André,Jones,+81312345678,US,2021-08-01,True,crm,customer678@gmail.com,True,1,customer678@gmail.com,"crm,website",2.0
José,Brown,5551234567,US,2020-12-01,True,crm,customer143@company.com,True,1,customer143@company.com,crm,1.0
John,Garcia,02079460958,US,2022-06-01,False,crm,customer274@yahoo.com,True,1,customer274@yahoo.com,crm,1.0
John,Martínez,5551234567,EU,2020-01-01,True,crm,customer557@company.com,True,1,customer557@company.com,"crm,website",2.0
Maria,Williams,5551234567,US,2022-01-01,False,crm,customer376@yahoo.com,True,1,customer376@yahoo.com,"crm,website",2.0
Alex,Kim,5551234567,EU,2023-11-01,False,crm,customer461@company.com,True,1,customer461@company.com,"crm,website",2.0
Chris,Wang,5551234567,APAC,2020-09-01,True,crm,customer56@company.com,True,1,customer56@company.com,"crm,website",2.0
Sarah,Kim,+15551234567,EU,2023-11-01,False,crm,customer453@gmail.com,True,1,customer453@gmail.com,"crm,website",2.0
Pat,Smith,+81312345678,EU,2021-01-01,False,crm,customer248@company.com,True,1,customer248@company.com,crm,1.0
André,Díaz,5551234567,US,2022-08-01,False,crm,customer599@company.com,True,1,customer599@company.com,"crm,website",2.0
Léa,González,02079460958,US,2020-12-01,True,crm,customer245@company.com,True,1,customer245@company.com,"crm,website",2.0
Chris,Johnson,+81312345678,EU,2021-07-01,False,crm,customer778@yahoo.com,True,1,customer778@yahoo.com,"crm,website,erp",3.0
Pat,Brown,+442079460958,EU,2023-09-01,True,crm,customer798@gmail.com,True,1,customer798@gmail.com,"crm,erp",2.0
Mike,Johnson,5551234567,APAC,2021-03-01,False,crm,customer777@gmail.com,True,1,customer777@gmail.com,"crm,erp",2.0
Müller,Wang,5551234567,US,2022-04-01,False,crm,customer55@yahoo.com,True,1,customer55@yahoo.com,"crm,erp",2.0
Jane,González,5551234567,EU,2022-10-01,True,crm,customer513@gmail.com,True,1,customer513@gmail.com,"crm,website",2.0
François,Brown,,EU,2020-03-01,False,crm,customer132@gmail.com,True,1,customer132@gmail.com,crm,1.0
Pat,Brown,+15551234567,EU,2023-12-01,False,crm,customer470@company.com,True,1,customer470@company.com,"crm,website",2.0
Mike,Kim,,US,2021-04-01,False,crm,customer285@gmail.com,True,1,customer285@gmail.com,"crm,website",2.0
Léa,Garcia,5551234567,EU,2021-02-01,True,crm,customer310@yahoo.com,True,1,customer310@yahoo.com,"crm,website,erp",3.0
José,Wang,02079460958,EU,2022-11-01,False,crm,customer496@yahoo.com,True,1,customer496@yahoo.com,"crm,website",2.0
Alex,Kim,+81312345678,US,2020-11-01,True,crm,customer565@yahoo.com,True,1,customer565@yahoo.com,"crm,website",2.0
Sarah,Johnson,+15551234567,US,2021-10-01,False,crm,customer715@yahoo.com,True,1,customer715@yahoo.com,"crm,website",2.0
Maria,Jones,+15551234567,EU,2021-11-01,False,crm,customer339@gmail.com,True,1,customer339@gmail.com,crm,1.0
François,González,,EU,2023-11-01,False,crm,customer773@company.com,True,1,customer773@company.com,crm,1.0
André,Wang,+81312345678,EU,2020-09-01,True,crm,customer164@company.com,True,1,customer164@company.com,"crm,website,erp",3.0
François,Wang,5551234567,EU,2021-03-01,False,crm,customer325@yahoo.com,True,1,customer325@yahoo.com,"crm,website,erp",3.0
José,Smith,02079460958,US,2022-05-01,True,crm,customer421@yahoo.com,True,1,customer421@yahoo.com,"crm,website",2.0
José,Brown,5551234567,US,2022-01-01,True,crm,customer391@yahoo.com,True,1,customer391@yahoo.com,"crm,website",2.0
José,Brown,+442079460958,EU,2022-12-01,True,crm,customer237@gmail.com,True,1,customer237@gmail.com,crm,1.0
Pat,López,+81312345678,,2021-04-01,True,crm,customer634@yahoo.com,True,1,customer634@yahoo.com,crm,1.0
Maria,González,,US,2020-09-01,True,crm,customer375@gmail.com,True,1,customer375@gmail.com,"crm,website",2.0
John,Smith,5551234567,APAC,2022-09-01,False,crm,customer443@company.com,True,1,customer443@company.com,"crm,website",2.0
Alex,Williams,+15551234567,APAC,2023-06-01,True,crm,customer607@yahoo.com,True,1,customer607@yahoo.com,"crm,website",2.0
Maria,Johnson,+15551234567,US,2023-06-01,False,crm,customer162@gmail.com,True,1,customer162@gmail.com,"crm,website",2.0
Müller,Garcia,+81312345678,APAC,2021-04-01,True,crm,customer655@yahoo.com,True,1,customer655@yahoo.com,"crm,website,erp",3.0
Léa,López,5551234567,EU,2023-06-01,True,crm,customer695@company.com,True,1,customer695@company.com,"crm,website",2.0
Sarah,Brown,5551234567,APAC,2021-06-01,False,crm,customer648@gmail.com,True,1,customer648@gmail.com,"crm,website",2.0
Jane,Jones,02079460958,EU,2021-02-01,True,crm,customer690@gmail.com,True,1,customer690@gmail.com,"crm,website",2.0
Alex,Martínez,5551234567,US,2020-10-01,True,crm,customer278@company.com,True,1,customer278@company.com,"crm,website",2.0
Sarah,Martínez,+15551234567,US,2022-06-01,False,crm,customer646@yahoo.com,True,1,customer646@yahoo.com,"crm,website,erp",3.0
Jane,Wang,02079460958,EU,2021-11-01,True,crm,customer44@company.com,True,1,customer44@company.com,"crm,website,erp",3.0
Alex,Garcia,02079460958,US,2021-11-01,False,crm,customer671@company.com,True,1,customer671@company.com,"crm,website",2.0
José,Johnson,+442079460958,US,2023-05-01,False,crm,customer356@company.com,True,1,customer356@company.com,"crm,website",2.0
Léa,Díaz,+81312345678,US,2022-06-01,False,crm,customer180@gmail.com,True,1,customer180@gmail.com,"crm,website",2.0
Pat,Wang,5551234567,US,2022-01-01,False,crm,customer691@yahoo.com,True,1,customer691@yahoo.com,"crm,erp",2.0
Léa,Brown,5551234567,EU,2020-05-01,True,crm,customer128@company.com,True,1,customer128@company.com,"crm,website",2.0
Jane,Jones,5551234567,APAC,2020-07-01,True,crm,customer638@company.com,True,1,customer638@company.com,"crm,website",2.0
Maria,Wang,+442079460958,EU,2022-04-01,False,crm,customer10@yahoo.com,True,1,customer10@yahoo.com,crm,1.0
Mike,Garcia,+442079460958,APAC,2020-07-01,True,crm,customer534@gmail.com,True,1,customer534@gmail.com,"crm,website",2.0
Pat,Díaz,5551234567,APAC,2021-02-01,True,crm,customer289@yahoo.com,True,1,customer289@yahoo.com,"crm,website",2.0
Maria,Williams,+442079460958,APAC,2020-02-01,True,crm,customer545@company.com,True,1,customer545@company.com,"crm,website,erp",3.0
Mike,Kim,+442079460958,US,2021-10-01,False,crm,customer296@company.com,True,1,customer296@company.com,crm,1.0
Müller,Johnson,02079460958,EU,2020-11-01,True,crm,customer127@yahoo.com,True,1,customer127@yahoo.com,"crm,website,erp",3.0
O'Brien,Johnson,+15551234567,US,2022-01-01,False,crm,customer473@company.com,True,1,customer473@company.com,"crm,website",2.0
Müller,Garcia,+15551234567,EU,2020-12-01,False,crm,customer145@yahoo.com,True,1,customer145@yahoo.com,"crm,erp",2.0
Chris,Wang,+81312345678,APAC,2022-04-01,False,crm,customer636@gmail.com,True,1,customer636@gmail.com,"crm,website,erp",3.0
Alex,Martínez,+442079460958,EU,2020-06-01,False,crm,customer28@yahoo.com,True,1,customer28@yahoo.com,crm,1.0
Sam,Garcia,5551234567,US,2021-02-01,False,crm,customer20@company.com,True,1,customer20@company.com,crm,1.0
André,López,5551234567,US,2022-03-01,False,crm,customer337@yahoo.com,True,1,customer337@yahoo.com,crm,1.0
Sarah,Williams,+442079460958,APAC,2022-03-01,False,crm,customer280@yahoo.com,True,1,customer280@yahoo.com,"crm,website",2.0
Sam,González,+442079460958,EU,2020-09-01,False,crm,customer508@yahoo.com,True,1,customer508@yahoo.com,"crm,website",2.0
Mike,Garcia,+442079460958,EU,2023-04-01,False,crm,customer188@company.com,True,1,customer188@company.com,"crm,website",2.0
Alex,González,02079460958,US,2020-10-01,False,crm,customer688@yahoo.com,True,1,customer688@yahoo.com,"crm,website",2.0
Sam,Díaz,5551234567,EU,2021-08-01,True,crm,customer229@yahoo.com,True,1,customer229@yahoo.com,"crm,website",2.0
François,Garcia,+81312345678,EU,2021-10-01,False,crm,customer437@company.com,True,1,customer437@company.com,"crm,website,erp",3.0
Müller,Díaz,02079460958,US,2020-05-01,False,crm,customer216@gmail.com,True,1,customer216@gmail.com,crm,1.0
Sarah,Wang,02079460958,EU,2020-08-01,False,crm,customer199@yahoo.com,True,1,customer199@yahoo.com,crm,1.0
François,Kim,02079460958,APAC,2020-10-01,False,crm,customer30@gmail.com,True,1,customer30@gmail.com,"crm,website",2.0
O'Brien,Kim,5551234567,US,2021-05-01,False,crm,customer613@yahoo.com,True,1,customer613@yahoo.com,"crm,website",2.0
André,Kim,+81312345678,EU,2020-10-01,False,crm,customer510@gmail.com,True,1,customer510@gmail.com,"crm,website,erp",3.0
Sam,Martínez,5551234567,EU,2020-05-01,True,crm,customer219@gmail.com,True,1,customer219@gmail.com,crm,1.0
Jane,López,02079460958,EU,2020-05-01,False,crm,customer282@gmail.com,True,1,customer282@gmail.com,"crm,website",2.0
André,Jones,02079460958,US,2021-03-01,False,crm,customer425@company.com,True,1,customer425@company.com,crm,1.0
Maria,Johnson,+81312345678,APAC,2021-07-01,False,crm,customer564@gmail.com,True,1,customer564@gmail.com,"crm,website",2.0
Sarah,Díaz,+442079460958,EU,2023-01-01,False,crm,customer403@yahoo.com,True,1,customer403@yahoo.com,"crm,website",2.0
Chris,Jones,02079460958,EU,2021-09-01,False,crm,customer116@company.com,True,1,customer116@company.com,"crm,website",2.0
O'Brien,Kim,02079460958,APAC,2023-10-01,True,crm,customer330@gmail.com,True,1,customer330@gmail.com,"crm,website,erp",3.0
Sam,Brown,,EU,2023-08-01,False,crm,customer457@yahoo.com,True,1,customer457@yahoo.com,crm,1.0
Alex,Martínez,5551234567,US,2020-02-01,False,crm,customer206@company.com,True,1,customer206@company.com,crm,1.0
O'Brien,González,02079460958,APAC,2022-02-01,True,crm,customer114@gmail.com,True,1,customer114@gmail.com,crm,1.0
Léa,Díaz,+442079460958,US,2022-03-01,False,crm,customer223@yahoo.com,True,1,customer223@yahoo.com,crm,1.0
Sam,Kim,5551234567,EU,2020-11-01,False,crm,customer300@gmail.com,True,1,customer300@gmail.com,"crm,website",2.0
Müller,Díaz,+15551234567,EU,2022-05-01,False,crm,customer349@yahoo.com,True,1,customer349@yahoo.com,"crm,website",2.0
Alex,Wang,+15551234567,US,2021-02-01,False,crm,customer583@yahoo.com,True,1,customer583@yahoo.com,"crm,website,erp",3.0
Maria,López,+442079460958,US,2022-09-01,False,crm,customer37@yahoo.com,True,1,customer37@yahoo.com,"crm,website",2.0
Jane,Jones,+442079460958,US,2021-12-01,True,crm,customer546@gmail.com,True,1,customer546@gmail.com,"crm,website,erp",3.0
John,Martínez,+442079460958,EU,2023-09-01,False,crm,customer677@company.com,True,1,customer677@company.com,"crm,website",2.0
Sam,González,5551234567,EU,2022-12-01,True,crm,customer657@gmail.com,True,1,customer657@gmail.com,"crm,website",2.0
Pat,Wang,5551234567,US,2022-12-01,False,crm,customer317@company.com,True,1,customer317@company.com,"crm,website",2.0
François,Garcia,+81312345678,APAC,2021-10-01,True,crm,customer673@yahoo.com,True,1,customer673@yahoo.com,"crm,website",2.0
Sarah,Garcia,5551234567,APAC,2020-02-01,False,crm,customer782@company.com,True,1,customer782@company.com,crm,1.0
Pat,Díaz,5551234567,US,2020-01-01,False,crm,customer73@yahoo.com,True,1,customer73@yahoo.com,"crm,website",2.0
Sam,Smith,+15551234567,APAC,2023-06-01,False,crm,customer3@gmail.com,True,1,customer3@gmail.com,"crm,website",2.0
Alex,Williams,02079460958,EU,2020-08-01,True,crm,customer730@yahoo.com,True,1,customer730@yahoo.com,"crm,website,erp",3.0
O'Brien,Williams,5551234567,EU,2022-03-01,False,crm,customer177@gmail.com,True,1,customer177@gmail.com,"crm,website,erp",3.0
Léa,Kim,+442079460958,EU,2020-05-01,False,crm,customer482@company.com,True,1,customer482@company.com,"crm,website",2.0
Mike,López,+15551234567,EU,2020-02-01,False,crm,customer261@gmail.com,True,1,customer261@gmail.com,"crm,website",2.0
Müller,Garcia,02079460958,EU,2021-11-01,False,crm,customer347@company.com,True,1,customer347@company.com,"crm,erp",2.0
Müller,Díaz,+81312345678,APAC,2020-04-01,True,crm,customer441@gmail.com,True,1,customer441@gmail.com,crm,1.0
Chris,Brown,+15551234567,US,2020-08-01,False,crm,customer692@company.com,True,1,customer692@company.com,"crm,website",2.0
Mike,Jones,+442079460958,EU,2022-03-01,False,crm,customer335@company.com,True,1,customer335@company.com,"crm,erp",2.0
Pat,López,02079460958,US,2021-06-01,False,crm,customer586@yahoo.com,True,1,customer586@yahoo.com,"crm,website",2.0
François,Johnson,+15551234567,US,2020-07-01,False,crm,customer556@yahoo.com,True,1,customer556@yahoo.com,"crm,website,erp",3.0
Léa,Kim,5551234567,EU,2020-12-01,False,crm,customer641@company.com,True,1,customer641@company.com,crm,1.0
Chris,Williams,02079460958,EU,2021-06-01,True,crm,customer48@gmail.com,True,1,customer48@gmail.com,"crm,website",2.0
Pat,Brown,+442079460958,EU,2021-10-01,True,crm,customer754@yahoo.com,True,1,customer754@yahoo.com,"crm,website",2.0
Sam,Brown,5551234567,EU,2021-06-01,False,crm,customer86@company.com,True,1,customer86@company.com,"crm,website",2.0
François,Jones,+81312345678,EU,2023-04-01,False,crm,customer478@yahoo.com,True,1,customer478@yahoo.com,"crm,website",2.0
Sarah,Williams,02079460958,US,2021-09-01,True,crm,customer160@yahoo.com,True,1,customer160@yahoo.com,"crm,website",2.0
Chris,Johnson,02079460958,EU,2020-07-01,False,crm,customer71@company.com,True,1,customer71@company.com,crm,1.0
Jane,González,+81312345678,US,2022-12-01,False,crm,customer149@company.com,True,1,customer149@company.com,crm,1.0
Pat,Wang,,,2023-02-01,True,crm,customer662@company.com,True,1,customer662@company.com,crm,1.0
Sarah,Jones,5551234567,EU,2022-04-01,True,crm,customer393@gmail.com,True,1,customer393@gmail.com,"crm,website",2.0
John,González,5551234567,APAC,2022-10-01,True,crm,customer50@company.com,True,1,customer50@company.com,"crm,erp",2.0
Pat,Jones,5551234567,APAC,2022-03-01,True,crm,customer431@company.com,True,1,customer431@company.com,"crm,website",2.0
Chris,Martínez,5551234567,US,2022-09-01,False,crm,customer459@gmail.com,True,1,customer459@gmail.com,"crm,erp",2.0
Pat,Johnson,02079460958,APAC,2023-09-01,False,crm,customer90@gmail.com,True,1,customer90@gmail.com,"crm,website",2.0
André,Williams,02079460958,US,2021-09-01,False,crm,customer654@gmail.com,True,1,customer654@gmail.com,"crm,website",2.0
Léa,Wang,,US,2021-08-01,False,crm,customer191@company.com,True,1,customer191@company.com,crm,1.0
Sarah,González,02079460958,EU,2023-09-01,False,crm,customer231@gmail.com,True,1,customer231@gmail.com,crm,1.0
André,Johnson,02079460958,US,2020-06-01,False,crm,customer501@gmail.com,True,1,customer501@gmail.com,"crm,website,erp",3.0
Müller,Williams,5551234567,APAC,2022-08-01,True,crm,customer539@company.com,True,1,customer539@company.com,"crm,website",2.0
José,Díaz,+442079460958,US,2021-06-01,True,crm,customer230@company.com,True,1,customer230@company.com,"crm,website",2.0
Alex,López,5551234567,EU,2022-11-01,False,crm,customer84@gmail.com,True,1,customer84@gmail.com,"crm,website",2.0
André,Garcia,02079460958,US,2021-05-01,True,crm,customer672@gmail.com,True,1,customer672@gmail.com,"crm,website",2.0
José,Wang,5551234567,US,2022-02-01,False,crm,customer522@gmail.com,True,1,customer522@gmail.com,"crm,website",2.0
José,Jones,5551234567,APAC,2020-04-01,False,crm,customer388@yahoo.com,True,1,customer388@yahoo.com,crm,1.0
Chris,Johnson,02079460958,APAC,2021-09-01,False,crm,customer536@company.com,True,1,customer536@company.com,"crm,website",2.0
Chris,Williams,5551234567,APAC,2023-09-01,False,crm,customer772@yahoo.com,True,1,customer772@yahoo.com,crm,1.0
Müller,González,+442079460958,US,2021-07-01,False,crm,customer605@company.com,True,1,customer605@company.com,"crm,website",2.0
Sarah,Kim,5551234567,US,2022-05-01,False,crm,customer386@company.com,True,1,customer386@company.com,"crm,website",2.0
Sarah,Smith,+15551234567,EU,2021-08-01,False,crm,customer716@company.com,True,1,customer716@company.com,"crm,erp",2.0
Müller,Kim,,US,2021-12-01,False,crm,customer497@company.com,True,1,customer497@company.com,crm,1.0
André,Johnson,5551234567,EU,2021-10-01,False,crm,customer645@gmail.com,True,1,customer645@gmail.com,"crm,website,erp",3.0
Sarah,Jones,5551234567,APAC,2021-01-01,False,crm,customer797@company.com,True,1,customer797@company.com,"crm,erp",2.0
Chris,Martínez,+442079460958,EU,2022-01-01,True,crm,customer268@yahoo.com,True,1,customer268@yahoo.com,crm,1.0
Maria,Kim,02079460958,APAC,2020-05-01,True,crm,customer644@company.com,True,1,customer644@company.com,"crm,website",2.0
Léa,Smith,5551234567,APAC,2023-05-01,False,crm,customer306@gmail.com,True,1,customer306@gmail.com,"crm,website",2.0
José,Smith,+15551234567,APAC,2021-02-01,False,crm,customer291@gmail.com,True,1,customer291@gmail.com,"crm,website",2.0
Mike,Kim,+81312345678,US,2023-12-01,False,crm,customer65@company.com,True,1,customer65@company.com,"crm,website,erp",3.0
Léa,Kim,5551234567,EU,2023-11-01,True,crm,customer100@yahoo.com,True,1,customer100@yahoo.com,"crm,website",2.0
José,Díaz,02079460958,US,2021-03-01,False,crm,customer494@company.com,True,1,customer494@company.com,"crm,website",2.0
François,Smith,02079460958,EU,2022-07-01,False,crm,customer593@company.com,True,1,customer593@company.com,"crm,website,erp",3.0
José,Johnson,,US,2022-01-01,True,crm,customer505@yahoo.com,True,1,customer505@yahoo.com,crm,1.0
Alex,López,+81312345678,EU,2022-06-01,False,crm,customer113@company.com,True,1,customer113@company.com,"crm,website",2.0
O'Brien,González,+81312345678,APAC,2020-01-01,False,crm,customer259@yahoo.com,True,1,customer259@yahoo.com,"crm,website",2.0
Sarah,Johnson,,,2021-06-01,False,crm,customer269@company.com,True,1,customer269@company.com,crm,1.0
Sam,Brown,5551234567,US,2020-09-01,False,crm,customer254@company.com,True,1,customer254@company.com,"crm,website,erp",3.0
André,Jones,5551234567,US,2023-12-01,False,crm,customer275@company.com,True,1,customer275@company.com,crm,1.0
Chris,Garcia,+442079460958,EU,2020-09-01,True,crm,customer203@company.com,True,1,customer203@company.com,"crm,website",2.0
Mike,López,5551234567,EU,2022-07-01,True,crm,customer429@gmail.com,True,1,customer429@gmail.com,"crm,website",2.0
Pat,Brown,+442079460958,EU,2023-12-01,False,crm,customer392@company.com,True,1,customer392@company.com,"crm,website",2.0
Chris,González,,US,2023-10-01,False,crm,customer621@gmail.com,True,1,customer621@gmail.com,crm,1.0
O'Brien,González,5551234567,US,2022-06-01,False,crm,customer161@company.com,True,1,customer161@company.com,"crm,website",2.0
Sarah,Smith,5551234567,US,2021-08-01,False,crm,customer514@yahoo.com,True,1,customer514@yahoo.com,"crm,website",2.0
Sam,Díaz,5551234567,EU,2020-04-01,True,crm,customer697@yahoo.com,True,1,customer697@yahoo.com,"crm,website,erp",3.0
Sarah,Williams,+442079460958,EU,2020-12-01,False,crm,customer698@company.com,True,1,customer698@company.com,"crm,website,erp",3.0
Sarah,Wang,+81312345678,APAC,2020-11-01,True,crm,customer328@yahoo.com,True,1,customer328@yahoo.com,"crm,website",2.0
John,Kim,5551234567,US,2023-10-01,False,crm,customer726@gmail.com,True,1,customer726@gmail.com,"crm,website",2.0
John,Wang,+442079460958,US,2023-09-01,False,crm,customer681@gmail.com,True,1,customer681@gmail.com,"crm,website",2.0
O'Brien,Kim,+442079460958,APAC,2022-07-01,False,crm,customer608@company.com,True,1,customer608@company.com,crm,1.0
John,Wang,+442079460958,US,2022-05-01,False,crm,customer47@company.com,True,1,customer47@company.com,"crm,website",2.0
Alex,Johnson,5551234567,EU,2022-04-01,False,crm,customer699@gmail.com,True,1,customer699@gmail.com,"crm,website",2.0
