employee_id,first_name,last_name,email,department,job_title,hire_date,country,employment_type,manager_id
29,Patrick,White,patrick.white@globaltech.com,Supply Chain,Operations Manager,2016-01-31,Spain,Full-Time,5105
30,Jennifer,Thompson,jennifer.thompson@globaltech.com,Marketing,Data Engineer,2021-11-12,Australia,Contractor,9931
31,Christine,Edwards,christine.edwards@globaltech.com,Quality Assurance,Staff Engineer,2016-03-26,Japan,Full-Time,13998
32,Stephanie,Bell,stephanie.bell@globaltech.com,Strategy,HR Specialist,2017-02-18,France,Full-Time,3604
33,Stephen,Rogers,stephen.rogers@globaltech.com,Supply Chain,HR Manager,2020-09-21,,Part-Time,7587
34,Peter,Davis,peter.davis@globaltech.com,Human Resources,Data Scientist,2023-08-16,Italy,Contractor,4771
35,Melissa,Miller,melissa.miller@globaltech.com,Manufacturing,Controller,2017-01-13,India,Full-Time,12778
36,Rebecca,Sanchez,rebecca.sanchez@globaltech.com,Strategy,Marketing Manager,2020-02-14,South Korea,Part-Time,8459
37,Angela,Boyd,angela.boyd@globaltech.com,Supply Chain,Solutions Architect,2016-02-21,Italy,Contractor,6188
38,Gregory,Nickerson,gregory.nickerson@globaltech.com,Communications,Operations Manager,2023-09-14,Mexico,Part-Time,45
39,Anthony,Johnson,anthony.johnson@globaltech.com,Communications,Senior Software Engineer,2015-06-28,France,Part-Time,13142
40,Ashley,White,ashley.white@globaltech.com,Sales,Solutions Architect,2024-04-19,India,Part-Time,2808
41,Nancy,Nickerson,nancy.nickerson@globaltech.com,Business Development,Systems Administrator,2021-06-26,Mexico,Full-Time,
42,Sandra,Peterson,sandra.peterson@globaltech.com,Product,HR Manager,2015-06-05,France,Contractor,12740
43,Samuel,Shelton,samuel.shelton@globaltech.com,Supply Chain,Controller,2017-03-31,Australia,Full-Time,10878
44,Kimberly,Garrison,kimberly.garrison@globaltech.com,Product,Controller,2020-05-26,Ireland,Contractor,13646
45,Emma,Warren,emma.warren@globaltech.com,Marketing,Financial Analyst,2024-11-21,Hong Kong,Full-Time,11236
46,David,Collins,david.collins@globaltech.com,Sales,Data Scientist,2020-07-22,Sweden,Full-Time,14745
47,Raymond,Wright,raymond.wright@globaltech.com,Product,Senior Product Manager,2024-01-31,Canada,Full-Time,7343
48,Tyler,Garcia,tyler.garcia@globaltech.com,Product,Sales Director,2024-10-28,Germany,Part-Time,4487
49,Kevin,Reyes,kevin.reyes@globaltech.com,Engineering,Senior Product Manager,2024-01-24,Mexico,Part-Time,8781
50,Sarah,Reeves,sarah.reeves@globaltech.com,Human Resources,Sales Director,2021-06-01,Hong Kong,Contractor,7527
51,Rachel,Gonzalez,rachel.gonzalez@globaltech.com,Human Resources,Data Analyst,2023-04-24,Canada,Contractor,10000
52,Larry,Young,larry.young@globaltech.com,Quality Assurance,HR Manager,2023-11-05,France,Part-Time,1058
53,Michelle,Fox,michelle.fox@globaltech.com,Engineering,Staff Engineer,2023-05-16,France,Part-Time,7283
54,Larry,Lopez,larry.lopez@globaltech.com,Operations,Marketing Specialist,2022-09-19,United States,Full-Time,10984
55,Larry,Nickerson,larry.nickerson@globaltech.com,Communications,Marketing Specialist,2019-02-02,Switzerland,Full-Time,
56,David,Miller,david.miller@globaltech.com,Engineering,Data Engineer,2019-06-17,Singapore,Contractor,
57,Jerry,Reyes,jerry.reyes@globaltech.com,Customer Success,Consultant,2020-08-12,Ireland,Part-Time,6911
58,Douglas,Peterson,douglas.peterson@globaltech.com,Human Resources,Staff Engineer,2022-06-25,Singapore,Full-Time,
59,William,Jackson,william.jackson@globaltech.com,Finance,Senior Product Manager,2024-07-23,United Kingdom,Full-Time,
60,Angela,Kemp,angela.kemp@globaltech.com,Marketing,Staff Engineer,2015-04-14,Spain,Part-Time,479
61,Brian,Jackson,brian.jackson@globaltech.com,Operations,Account Executive,2024-02-08,Australia,Contractor,609
62,Douglas,Knox,douglas.knox@globaltech.com,Communications,Product Manager,2023-02-25,United States,Part-Time,3765
63,Kenneth,Lewis,kenneth.lewis@globaltech.com,Business Development,Financial Analyst,2017-03-11,Singapore,Part-Time,10617
64,Richard,Reed,richard.reed@globaltech.com,Finance,Project Manager,2017-10-09,Hong Kong,Part-Time,7646
65,Jacob,Reyes,jacob.reyes@globaltech.com,Engineering,Solutions Architect,2021-02-02,South Korea,Part-Time,2546
66,Steven,Campbell,steven.campbell@globaltech.com,Human Resources,Quality Assurance Engineer,2015-05-25,Italy,Full-Time,11656
67,Kathleen,Miller,kathleen.miller@globaltech.com,Sales,HR Manager,2021-04-28,Switzerland,Part-Time,6122
68,Steven,Jackson,steven.jackson@globaltech.com,Quality Assurance,Marketing Specialist,2021-10-16,Sweden,Contractor,927
69,Steven,Thompson,steven.thompson@globaltech.com,Operations,HR Specialist,2024-05-15,Germany,Part-Time,1295
70,Sandra,Clark,sandra.clark@globaltech.com,Operations,HR Manager,2021-11-23,India,Full-Time,10844
71,Ronald,Russell,ronald.russell@globaltech.com,Business Development,Sales Director,2019-06-11,Hong Kong,Part-Time,7112
72,Justin,Martin,justin.martin@globaltech.com,Finance,Operations Manager,2023-01-11,Netherlands,Contractor,14470
73,Melissa,Porter,melissa.porter@globaltech.com,Information Technology,Solutions Architect,2016-02-17,France,Full-Time,14085
74,Matthew,Reyes,matthew.reyes@globaltech.com,Product,Marketing Manager,2021-03-15,India,Full-Time,3604
75,Timothy,Morgan,timothy.morgan@globaltech.com,Information Technology,Software Engineer,2015-04-20,Japan,Full-Time,6075
76,Elizabeth,Phillips,elizabeth.phillips@globaltech.com,Strategy,Solutions Architect,2023-11-20,Hong Kong,Full-Time,5913
77,Jerry,Taylor,jerry.taylor@globaltech.com,Legal,Sales Representative,2024-05-23,Italy,Full-Time,7346
78,Rachel,Ramirez,rachel.ramirez@globaltech.com,Strategy,Data Engineer,2022-11-18,Sweden,Part-Time,5873
79,Patricia,Morris,patricia.morris@globaltech.com,Sales,Recruiter,2017-03-27,Netherlands,Full-Time,10206
80,Steven,Cooper,steven.cooper@globaltech.com,Quality Assurance,Operations Manager,2020-09-25,Mexico,Part-Time,8457
81,Donald,Harris,donald.harris@globaltech.com,Data Science,Marketing Manager,2024-12-20,Hong Kong,Part-Time,11493
82,Aaron,Smith,aaron.smith@globaltech.com,Operations,QA Lead,2017-10-08,Switzerland,Full-Time,2546
83,Karen,Davis,karen.davis@globaltech.com,Human Resources,Data Scientist,2020-07-22,Hong Kong,Contractor,11371
84,Michelle,Young,michelle.young@globaltech.com,Communications,Staff Engineer,2020-06-26,Mexico,Contractor,
85,Amanda,Moreno,amanda.moreno@globaltech.com,Strategy,Controller,2019-10-06,Brazil,Full-Time,9340
86,Kimberly,Lewis,kimberly.lewis@globaltech.com,Engineering,Product Manager,2021-08-03,Hong Kong,Part-Time,8208
87,Kimberly,Russell,kimberly.russell@globaltech.com,Legal,Financial Analyst,2016-04-28,Germany,Full-Time,333
88,Michelle,Garrison,michelle.garrison@globaltech.com,Supply Chain,Project Manager,2023-01-06,Sweden,Full-Time,3728
89,Peter,Lopez,peter.lopez@globaltech.com,Business Development,Marketing Specialist,2018-11-09,Ireland,Contractor,12740
90,Pamela,Moore,pamela.moore@globaltech.com,DevOps,Senior Product Manager,2020-10-23,Singapore,Part-Time,10531
91,Scott,Miller,scott.miller@globaltech.com,DevOps,Business Analyst,2020-01-09,United Kingdom,Part-Time,12786
92,Ronald,Warren,ronald.warren@globaltech.com,Customer Success,Marketing Manager,2024-08-29,Ireland,Contractor,11371
93,Scott,Clark,scott.clark@globaltech.com,Operations,Sales Representative,2018-06-17,Ireland,Part-Time,
94,Joshua,White,joshua.white@globaltech.com,Finance,Senior Software Engineer,2023-02-24,Mexico,Contractor,4974
95,Helen,Anderson,helen.anderson@globaltech.com,Strategy,Software Engineer,2023-04-02,Singapore,Contractor,2287
96,Jennifer,Moreno,jennifer.moreno@globaltech.com,DevOps,HR Manager,2022-12-16,Mexico,Full-Time,
97,Raymond,Campbell,raymond.campbell@globaltech.com,DevOps,Data Analyst,2022-09-24,Australia,Full-Time,6688
98,Gregory,Anderson,gregory.anderson@globaltech.com,Quality Assurance,HR Manager,2021-10-27,Hong Kong,Part-Time,
99,Kathleen,Taylor,kathleen.taylor@globaltech.com,Business Development,Data Scientist,2015-01-20,Germany,Full-Time,7218
100,Ronald,Anderson,ronald.anderson@globaltech.com,DevOps,Accountant,2015-07-31,Singapore,Part-Time,3475
101,Jose,Wright,jose.wright@globaltech.com,Product,Quality Assurance Engineer,2017-01-19,Australia,Full-Time,9851
102,Lisa,Mason,lisa.mason@globaltech.com,Marketing,Marketing Manager,2016-03-25,Switzerland,Part-Time,14724
103,Jonathan,Moore,jonathan.moore@globaltech.com,Quality Assurance,Software Engineer,2017-12-29,South Korea,Full-Time,8415
104,Henry,Murphy,henry.murphy@globaltech.com,Operations,Senior Product Manager,2017-08-20,South Korea,Contractor,4876
105,Janet,Fox,janet.fox@globaltech.com,Marketing,HR Specialist,2022-04-29,Netherlands,Part-Time,9914
106,Nicole,Peterson,nicole.peterson@globaltech.com,Finance,Marketing Specialist,2024-02-19,Italy,Part-Time,
107,Jerry,Rodriguez,jerry.rodriguez@globaltech.com,Engineering,Account Executive,2020-02-03,South Korea,Full-Time,1244
108,Steven,Gordon,steven.gordon@globaltech.com,DevOps,Sales Representative,2017-11-04,United States,Part-Time,7321
109,Andrew,Miller,andrew.miller@globaltech.com,Supply Chain,HR Specialist,2015-10-17,South Korea,Full-Time,11902
110,Janet,Johnson,janet.johnson@globaltech.com,Quality Assurance,Quality Assurance Engineer,2024-09-07,Mexico,Full-Time,8904
111,Deborah,Morris,deborah.morris@globaltech.com,Quality Assurance,Marketing Specialist,2017-06-26,Italy,Contractor,2980
112,Mary,Morgan,mary.morgan@globaltech.com,Strategy,Financial Analyst,2023-06-26,Singapore,Full-Time,5663
113,Anna,Rodriguez,anna.rodriguez@globaltech.com,Quality Assurance,Analyst,2016-04-21,Ireland,Contractor,
114,Christine,Campbell,christine.campbell@globaltech.com,Sales,Marketing Manager,2019-07-15,Italy,Contractor,13948
115,Donald,Gordon,donald.gordon@globaltech.com,DevOps,QA Lead,2022-06-27,Ireland,Part-Time,10355
116,Janet,Collins,janet.collins@globaltech.com,Strategy,Recruiter,2021-11-07,South Korea,Part-Time,13663
117,Laura,Bennett,laura.bennett@globaltech.com,Information Technology,Product Manager,2021-01-27,United States,Part-Time,401
118,Christopher,Torres,christopher.torres@globaltech.com,Operations,Operations Manager,2019-01-13,Mexico,Contractor,2973
119,Karen,Kemp,karen.kemp@globaltech.com,Supply Chain,Accountant,2018-05-15,Germany,Full-Time,7320
120,Jessica,Russell,jessica.russell@globaltech.com,Engineering,Senior Product Manager,2024-02-09,Japan,Full-Time,1368
121,Larry,Williams,larry.williams@globaltech.com,Finance,Senior Software Engineer,2022-11-09,Switzerland,Full-Time,12443
122,Matthew,Johnson,matthew.johnson@globaltech.com,Quality Assurance,Project Manager,2022-06-25,Singapore,Full-Time,2084
123,Shirley,Porter,shirley.porter@globaltech.com,Finance,Data Engineer,2022-07-24,Italy,Part-Time,2740
124,Emily,Phillips,emily.phillips@globaltech.com,Product,HR Manager,2015-03-05,Italy,Full-Time,
125,Melissa,King,melissa.king@globaltech.com,Engineering,Systems Administrator,2015-04-16,India,Full-Time,7675
126,Kevin,Hunter,kevin.hunter@globaltech.com,Product,Operations Manager,2018-03-15,South Korea,Contractor,
127,Thomas,Harris,thomas.harris@globaltech.com,DevOps,Data Engineer,2018-11-01,Singapore,Full-Time,13291
128,Nancy,Perez,nancy.perez@globaltech.com,DevOps,Staff Engineer,2021-05-27,Italy,Part-Time,13000
129,Linda,Williams,linda.williams@globaltech.com,Sales,Sales Representative,2015-01-13,United Kingdom,Part-Time,4112
130,Joshua,Morgan,joshua.morgan@globaltech.com,Sales,Accountant,2018-06-14,Singapore,Full-Time,4964
131,Nicole,Ramos,nicole.ramos@globaltech.com,Legal,Quality Assurance Engineer,2017-07-08,Spain,Full-Time,4629
132,Ashley,Hunter,ashley.hunter@globaltech.com,Marketing,Recruiter,2019-07-29,South Korea,Full-Time,2476
133,Ronald,Mason,ronald.mason@globaltech.com,Legal,Sales Director,2023-04-30,Japan,Full-Time,794
134,Peter,Nickerson,peter.nickerson@globaltech.com,Finance,Senior Product Manager,2018-01-07,France,Part-Time,12664
135,Lisa,Warren,lisa.warren@globaltech.com,Finance,Senior Software Engineer,2015-09-04,Japan,Contractor,196
136,Justin,Peterson,justin.peterson@globaltech.com,Quality Assurance,Sales Representative,2024-05-03,India,Full-Time,13473
137,Shirley,Morris,shirley.morris@globaltech.com,DevOps,Consultant,2017-02-01,Spain,Contractor,11122
138,Catherine,Price,catherine.price@globaltech.com,Customer Success,Accountant,2024-09-21,Sweden,Full-Time,3149
139,Eric,White,eric.white@globaltech.com,Finance,Controller,2017-10-24,Germany,Full-Time,11586
140,Jack,Warren,jack.warren@globaltech.com,Data Science,Sales Director,2015-10-07,Brazil,Part-Time,1366
141,Gary,Wright,gary.wright@globaltech.com,Finance,Account Executive,2021-11-18,Sweden,Part-Time,4701
142,Carol,Fox,carol.fox@globaltech.com,Supply Chain,Analyst,2020-01-27,Ireland,Part-Time,5384
143,Charles,Phillips,charles.phillips@globaltech.com,Data Science,Project Manager,2023-03-30,Germany,Full-Time,9581
144,Helen,Lee,helen.lee@globaltech.com,DevOps,Sales Representative,2015-11-30,Singapore,Contractor,5911
145,David,Davis,david.davis@globaltech.com,Manufacturing,Solutions Architect,2024-11-29,Australia,Contractor,
146,Christine,Kennedy,christine.kennedy@globaltech.com,Product,Data Scientist,2024-04-25,Hong Kong,Part-Time,2647
147,Rebecca,Morris,rebecca.morris@globaltech.com,Communications,HR Manager,2021-09-23,United Kingdom,Contractor,14186
148,Brandon,Edwards,brandon.edwards@globaltech.com,Quality Assurance,Systems Administrator,2019-01-28,Netherlands,Full-Time,4087
149,Andrew,Wright,andrew.wright@globaltech.com,Business Development,HR Manager,2018-11-11,Brazil,Full-Time,9021
150,Douglas,Morris,douglas.morris@globaltech.com,Quality Assurance,Recruiter,2015-06-28,Switzerland,Part-Time,11095
151,Sandra,Gordon,sandra.gordon@globaltech.com,Product,HR Manager,2023-12-11,France,Full-Time,1662
152,Katherine,Reeves,katherine.reeves@globaltech.com,Strategy,Accountant,2017-09-09,Hong Kong,Part-Time,4128
153,David,Brown,david.brown@globaltech.com,Quality Assurance,Sales Director,2021-03-11,Mexico,Full-Time,2808
154,Amanda,Stevens,amanda.stevens@globaltech.com,Human Resources,Marketing Specialist,2020-04-11,Singapore,Full-Time,8456
155,Cynthia,Reeves,cynthia.reeves@globaltech.com,Communications,Senior Product Manager,2015-06-22,Sweden,Contractor,665
156,Jerry,Torres,jerry.torres@globaltech.com,Communications,Senior Software Engineer,2015-10-06,China,Part-Time,12932
157,Nicole,Russell,nicole.russell@globaltech.com,Business Development,Project Manager,2022-09-10,Mexico,Contractor,2647
158,Kathleen,Shelton,kathleen.shelton@globaltech.com,Manufacturing,HR Manager,2018-07-26,Australia,Part-Time,12822
159,Jennifer,Lopez,jennifer.lopez@globaltech.com,Customer Success,Quality Assurance Engineer,2015-09-27,United Kingdom,Part-Time,2812
160,Charles,Smith,charles.smith@globaltech.com,Product,Sales Director,2015-02-14,Japan,Full-Time,4808
161,Brian,Robinson,brian.robinson@globaltech.com,Operations,Software Engineer,2015-09-19,Singapore,Contractor,12000
162,Sarah,Ramirez,sarah.ramirez@globaltech.com,Legal,Software Engineer,2017-10-18,Netherlands,Part-Time,10638
163,David,Mason,david.mason@globaltech.com,Business Development,Marketing Specialist,2015-10-25,China,Contractor,13909
164,Jonathan,Perez,jonathan.perez@globaltech.com,Communications,Product Manager,2020-07-15,South Korea,Part-Time,1278
165,Sharon,Collins,sharon.collins@globaltech.com,Information Technology,Sales Director,2017-07-11,Ireland,Full-Time,6690
166,Samuel,Reed,samuel.reed@globaltech.com,Manufacturing,Sales Representative,2022-05-30,France,Contractor,8329
167,Richard,Edwards,richard.edwards@globaltech.com,Operations,HR Manager,2015-03-02,Hong Kong,Part-Time,
168,Donald,Reed,donald.reed@globaltech.com,Strategy,Data Scientist,2023-07-25,Australia,Full-Time,6370
169,Jerry,Phillips,jerry.phillips@globaltech.com,Marketing,Marketing Specialist,2019-02-10,Sweden,Full-Time,3173
170,Catherine,Thomas,catherine.thomas@globaltech.com,Human Resources,Marketing Manager,2019-06-29,Spain,Contractor,5255
171,Nancy,Wright,nancy.wright@globaltech.com,Engineering,Software Engineer,2022-08-20,Australia,Contractor,7893
172,Jeffrey,Peterson,jeffrey.peterson@globaltech.com,Business Development,Consultant,2020-05-12,Sweden,Part-Time,12345
173,Justin,King,justin.king@globaltech.com,Manufacturing,Systems Administrator,2018-08-21,Australia,Full-Time,9021
174,Edward,Phillips,edward.phillips@globaltech.com,Legal,Systems Administrator,2015-05-21,Brazil,Contractor,1599
175,Dennis,Moore,dennis.moore@globaltech.com,Operations,Solutions Architect,2023-06-01,Singapore,Contractor,8158
176,Ashley,Kemp,ashley.kemp@globaltech.com,Business Development,Financial Analyst,2017-04-27,Hong Kong,Part-Time,5663
177,Sandra,Kemp,sandra.kemp@globaltech.com,DevOps,Solutions Architect,2016-01-29,Mexico,Part-Time,11326
178,Amy,Gonzalez,amy.gonzalez@globaltech.com,Operations,Account Executive,2017-09-03,Sweden,Full-Time,1332
179,David,Brown,david.brown@globaltech.com,Information Technology,Accountant,2024-01-11,Japan,Full-Time,1372
180,Patricia,Murphy,patricia.murphy@globaltech.com,Data Science,Sales Director,2022-07-11,Spain,Full-Time,2476
181,Richard,Shelton,richard.shelton@globaltech.com,Information Technology,Product Manager,2016-01-06,Spain,Part-Time,11443
182,Stephen,Garrison,stephen.garrison@globaltech.com,Engineering,Marketing Manager,2017-11-29,Germany,Part-Time,6440
183,Frank,Moore,frank.moore@globaltech.com,Finance,Account Executive,2021-01-20,India,Contractor,13122
184,Rebecca,Price,rebecca.price@globaltech.com,Information Technology,Controller,2020-04-15,Ireland,Contractor,2728
185,Eric,Gordon,eric.gordon@globaltech.com,Data Science,Data Scientist,2017-03-25,India,Full-Time,
186,Steven,Fox,steven.fox@globaltech.com,Information Technology,Solutions Architect,2017-01-10,France,Part-Time,4471
187,Christine,Warren,christine.warren@globaltech.com,Legal,Account Executive,2016-11-14,Brazil,Part-Time,10355
188,Shirley,Rogers,shirley.rogers@globaltech.com,Engineering,Solutions Architect,2015-09-26,Hong Kong,Part-Time,10729
189,Rachel,Clark,rachel.clark@globaltech.com,Manufacturing,Senior Software Engineer,2017-03-12,Australia,Contractor,7465
190,Richard,Porter,richard.porter@globaltech.com,Quality Assurance,Product Manager,2016-09-28,Switzerland,Contractor,13517
191,Michael,Bell,michael.bell@globaltech.com,Business Development,Business Analyst,2017-10-24,Australia,Contractor,
192,Samantha,Martinez,samantha.martinez@globaltech.com,Supply Chain,Analyst,2021-10-15,Brazil,Full-Time,10656
193,Elizabeth,Smith,elizabeth.smith@globaltech.com,Information Technology,Marketing Specialist,2016-03-17,South Korea,Contractor,8616
194,Douglas,Porter,douglas.porter@globaltech.com,Sales,Quality Assurance Engineer,2020-07-16,Sweden,Full-Time,3924
195,Sarah,Lee,sarah.lee@globaltech.com,Sales,Project Manager,2017-04-08,China,Full-Time,14299
196,Matthew,Moore,matthew.moore@globaltech.com,Legal,Systems Administrator,2018-06-22,United States,Full-Time,13899
197,Rachel,Bell,rachel.bell@globaltech.com,Customer Success,Staff Engineer,2019-06-10,China,Contractor,6740
198,Gregory,Torres,gregory.torres@globaltech.com,Strategy,Consultant,2017-02-08,Spain,Part-Time,10531
199,Stephanie,Torres,stephanie.torres@globaltech.com,Legal,HR Manager,2020-01-05,South Korea,Full-Time,11731
200,Jason,Sanchez,jason.sanchez@globaltech.com,Operations,Quality Assurance Engineer,2021-12-17,Canada,Contractor,7465
201,Richard,Moreno,richard.moreno@globaltech.com,Strategy,Project Manager,2022-01-22,Canada,Full-Time,10855
202,Matthew,King,matthew.king@globaltech.com,Customer Success,Account Executive,2022-05-27,Singapore,Part-Time,6333
203,Jack,Williams,jack.williams@globaltech.com,Business Development,Marketing Specialist,2015-09-06,Japan,Part-Time,13761
204,Gary,Thomas,gary.thomas@globaltech.com,Engineering,Senior Software Engineer,2018-09-03,Italy,Full-Time,5643
205,Mary,Lopez,mary.lopez@globaltech.com,Engineering,Accountant,2016-04-05,Brazil,Full-Time,10356
206,Angela,Gonzalez,angela.gonzalez@globaltech.com,Manufacturing,Data Scientist,2016-10-19,China,Part-Time,2660
207,Kathleen,Shelton,kathleen.shelton@globaltech.com,Customer Success,Marketing Specialist,2023-10-18,Canada,Full-Time,6978
208,Helen,Parker,helen.parker@globaltech.com,Business Development,Quality Assurance Engineer,2024-01-27,India,Contractor,2973
209,Donna,Warren,donna.warren@globaltech.com,Product,QA Lead,2017-10-10,Spain,Contractor,10530
210,Thomas,Warren,thomas.warren@globaltech.com,Sales,Marketing Manager,2024-11-04,France,Full-Time,4771
211,Jacob,Gonzalez,jacob.gonzalez@globaltech.com,Manufacturing,Solutions Architect,2020-11-02,Canada,Full-Time,2114
212,Janet,Davis,janet.davis@globaltech.com,Marketing,Accountant,2023-03-06,Switzerland,Full-Time,9305
213,Angela,Parker,angela.parker@globaltech.com,Customer Success,Product Manager,2016-11-30,Ireland,Contractor,8595
214,Kimberly,Rodriguez,kimberly.rodriguez@globaltech.com,Strategy,Recruiter,2023-05-07,India,Part-Time,
215,Emma,Kemp,emma.kemp@globaltech.com,Operations,Data Scientist,2023-08-19,Japan,Full-Time,9257
216,Aaron,Rodriguez,aaron.rodriguez@globaltech.com,Strategy,Financial Analyst,2023-03-28,Singapore,Contractor,5758
217,Susan,Martinez,susan.martinez@globaltech.com,Data Science,Sales Director,2015-06-29,Sweden,Part-Time,11778
218,Brian,Sanchez,brian.sanchez@globaltech.com,Legal,Business Analyst,2019-11-11,France,Contractor,1261
219,Edward,Jackson,edward.jackson@globaltech.com,Finance,Senior Product Manager,2023-03-14,China,Part-Time,10368
220,Amy,Gomez,amy.gomez@globaltech.com,Marketing,Operations Manager,2020-05-20,Brazil,Full-Time,330
221,Mary,Phillips,mary.phillips@globaltech.com,Business Development,QA Lead,2024-08-20,Singapore,Part-Time,10628
222,Pamela,Bell,pamela.bell@globaltech.com,Quality Assurance,Accountant,2021-04-02,India,Full-Time,13173
223,Jeffrey,Harris,jeffrey.harris@globaltech.com,Marketing,Product Manager,2021-11-06,Germany,Full-Time,
224,Joseph,Ramirez,joseph.ramirez@globaltech.com,Strategy,Marketing Manager,2015-06-23,United Kingdom,Contractor,8143
225,Michael,Martinez,michael.martinez@globaltech.com,Communications,HR Specialist,2019-06-11,Ireland,Contractor,5013
226,Jeffrey,Kennedy,jeffrey.kennedy@globaltech.com,Business Development,Software Engineer,2018-02-01,Brazil,Contractor,11630
227,Katherine,Gordon,katherine.gordon@globaltech.com,Supply Chain,Analyst,2017-12-18,Spain,Contractor,8595
228,Steven,Dixon,steven.dixon@globaltech.com,Quality Assurance,Data Engineer,2019-07-18,South Korea,Full-Time,11866
229,Stephanie,Phillips,stephanie.phillips@globaltech.com,Engineering,Sales Director,2016-06-09,Germany,Full-Time,95
230,Paul,Campbell,paul.campbell@globaltech.com,Sales,Financial Analyst,2019-12-20,United States,Part-Time,557
231,Katherine,Bennett,katherine.bennett@globaltech.com,Quality Assurance,HR Specialist,2022-06-03,China,Contractor,11357
232,Michelle,Lee,michelle.lee@globaltech.com,Product,Controller,2017-06-23,Singapore,Part-Time,
233,Kathleen,Bennett,kathleen.bennett@globaltech.com,Manufacturing,Senior Product Manager,2020-12-15,Switzerland,Part-Time,14954
234,Angela,Thomas,angela.thomas@globaltech.com,Quality Assurance,Analyst,2021-01-02,Canada,Full-Time,6436
235,Paul,Russell,paul.russell@globaltech.com,Customer Success,Operations Manager,2017-12-22,Switzerland,Full-Time,4788
236,Jessica,Kennedy,jessica.kennedy@globaltech.com,Engineering,Consultant,2020-02-27,Switzerland,Part-Time,2745
237,Donald,Fox,donald.fox@globaltech.com,Finance,Operations Manager,2022-06-18,United Kingdom,Part-Time,2740
238,Linda,Campbell,linda.campbell@globaltech.com,Finance,Marketing Manager,2020-12-24,South Korea,Full-Time,12018
239,Linda,Porter,linda.porter@globaltech.com,Information Technology,HR Manager,2019-01-15,France,Part-Time,2734
240,Laura,Martinez,laura.martinez@globaltech.com,Information Technology,Operations Manager,2016-08-31,Switzerland,Full-Time,11688
