record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action,record_1_name,record_2_name,record_1_company,record_2_company,dedup_method
GT-011935,AC-001697,100.0,6,review,Angela Lee,Angela Lee,GlobalTech,AcquiredCo,fuzzy_name
GT-009753,AC-001326,100.0,6,review,Patrick Boyd,Patrick Boyd,GlobalTech,AcquiredCo,fuzzy_name
AC-001191,GT-000840,100.0,7,review,Richard Miller,Richard Miller,AcquiredCo,GlobalTech,fuzzy_name
AC-001637,GT-006597,100.0,7,review,Rebecca Collins,Rebecca Collins,AcquiredCo,GlobalTech,fuzzy_name
GT-004369,AC-001092,100.0,7,review,Henry Russell,Henry Russell,GlobalTech,AcquiredCo,fuzzy_name
GT-012404,AC-001536,100.0,7,review,Karen Perez,Karen Perez,GlobalTech,AcquiredCo,fuzzy_name
GT-000680,AC-000281,100.0,8,review,Ronald Wilson,Ronald Wilson,GlobalTech,AcquiredCo,fuzzy_name
AC-002704,GT-013324,100.0,8,review,Melissa Hunter,Melissa Hunter,AcquiredCo,GlobalTech,fuzzy_name
AC-000822,GT-011330,100.0,9,review,Samantha Moreno,Samantha Moreno,AcquiredCo,GlobalTech,fuzzy_name
AC-002107,GT-002985,100.0,9,review,Anthony Young,Anthony Young,AcquiredCo,GlobalTech,fuzzy_name
GT-013874,AC-000034,100.0,9,review,Jeffrey Taylor,Jeffrey Taylor,GlobalTech,AcquiredCo,fuzzy_name
GT-001468,AC-002749,100.0,10,review,Samantha Davis,Samantha Davis,GlobalTech,AcquiredCo,fuzzy_name
GT-008892,AC-001352,100.0,10,review,Nicholas Williams,Nicholas Williams,GlobalTech,AcquiredCo,fuzzy_name
AC-002710,GT-003573,100.0,10,review,Stephen Walker,Stephen Walker,AcquiredCo,GlobalTech,fuzzy_name
AC-001535,GT-009069,100.0,10,review,Christopher White,Christopher White,AcquiredCo,GlobalTech,fuzzy_name
GT-012716,AC-002465,100.0,11,review,Ryan Wright,Ryan Wright,GlobalTech,AcquiredCo,fuzzy_name
AC-001810,GT-004069,100.0,11,review,Andrew White,Andrew White,AcquiredCo,GlobalTech,fuzzy_name
GT-009066,AC-000400,100.0,15,review,Justin Mason,Justin Mason,GlobalTech,AcquiredCo,fuzzy_name
GT-012556,AC-000498,100.0,15,review,Patricia Kennedy,Patricia Kennedy,GlobalTech,AcquiredCo,fuzzy_name
GT-011999,AC-001352,100.0,15,review,Nicholas Williams,Nicholas Williams,GlobalTech,AcquiredCo,fuzzy_name
AC-000945,GT-013937,100.0,15,review,Susan Cooper,Susan Cooper,AcquiredCo,GlobalTech,fuzzy_name
AC-002691,GT-000440,100.0,15,review,Daniel Ramos,Daniel Ramos,AcquiredCo,GlobalTech,fuzzy_name
AC-001934,GT-007609,100.0,16,review,Ronald White,Ronald White,AcquiredCo,GlobalTech,fuzzy_name
GT-006029,AC-000602,100.0,16,review,Amy Hicks,Amy Hicks,GlobalTech,AcquiredCo,fuzzy_name
AC-000723,GT-011487,100.0,16,review,Daniel Ramirez,Daniel Ramirez,AcquiredCo,GlobalTech,fuzzy_name
GT-011942,AC-000854,100.0,18,review,Amanda Mason,Amanda Mason,GlobalTech,AcquiredCo,fuzzy_name
GT-009067,AC-002019,100.0,18,review,Amy Hicks,Amy Hicks,GlobalTech,AcquiredCo,fuzzy_name
AC-001732,GT-014330,100.0,18,review,Janet Reeves,Janet Reeves,AcquiredCo,GlobalTech,fuzzy_name
GT-002170,AC-000935,100.0,18,review,Jonathan Peterson,Jonathan Peterson,GlobalTech,AcquiredCo,fuzzy_name
GT-006308,AC-000866,100.0,18,review,Jennifer Hicks,Jennifer Hicks,GlobalTech,AcquiredCo,fuzzy_name
AC-001085,GT-000251,100.0,18,review,Amy Dixon,Amy Dixon,AcquiredCo,GlobalTech,fuzzy_name
AC-000107,GT-008701,100.0,19,review,Anna Collins,Anna Collins,AcquiredCo,GlobalTech,fuzzy_name
GT-001904,AC-001700,100.0,19,review,Paul Morris,Paul Morris,GlobalTech,AcquiredCo,fuzzy_name
GT-006446,AC-001057,100.0,19,review,Alexander Reed,Alexander Reed,GlobalTech,AcquiredCo,fuzzy_name
GT-005183,AC-001262,100.0,19,review,Donald Russell,Donald Russell,GlobalTech,AcquiredCo,fuzzy_name
GT-007941,AC-000078,100.0,20,review,Anthony Campbell,Anthony Campbell,GlobalTech,AcquiredCo,fuzzy_name
AC-002509,GT-012230,100.0,20,review,Sarah Shelton,Sarah Shelton,AcquiredCo,GlobalTech,fuzzy_name
AC-002494,GT-002831,100.0,21,review,Amy Reed,Amy Reed,AcquiredCo,GlobalTech,fuzzy_name
GT-002645,AC-002683,100.0,21,review,Carolyn Lopez,Carolyn Lopez,GlobalTech,AcquiredCo,fuzzy_name
AC-000011,GT-008663,100.0,21,review,Ruth Dixon,Ruth Dixon,AcquiredCo,GlobalTech,fuzzy_name
AC-000676,GT-011648,100.0,23,review,Kathleen Walker,Kathleen Walker,AcquiredCo,GlobalTech,fuzzy_name
GT-001450,AC-002199,100.0,23,review,Jack Mason,Jack Mason,GlobalTech,AcquiredCo,fuzzy_name
AC-000938,GT-009819,100.0,23,review,Andrew Peterson,Andrew Peterson,AcquiredCo,GlobalTech,fuzzy_name
AC-000529,GT-007456,100.0,24,review,Patricia Moore,Patricia Moore,AcquiredCo,GlobalTech,fuzzy_name
GT-011863,AC-001005,100.0,24,review,Dorothy Moore,Dorothy Moore,GlobalTech,AcquiredCo,fuzzy_name
AC-000210,GT-013041,100.0,24,review,William Martinez,William Martinez,AcquiredCo,GlobalTech,fuzzy_name
AC-002188,GT-005167,100.0,24,review,Sarah Gonzalez,Sarah Gonzalez,AcquiredCo,GlobalTech,fuzzy_name
AC-002096,GT-006601,100.0,24,review,Ryan Mason,Ryan Mason,AcquiredCo,GlobalTech,fuzzy_name
AC-001198,GT-006739,100.0,25,review,Kathleen Peterson,Kathleen Peterson,AcquiredCo,GlobalTech,fuzzy_name
GT-001165,AC-000514,100.0,25,review,Daniel Wilson,Daniel Wilson,GlobalTech,AcquiredCo,fuzzy_name
AC-000368,GT-006730,100.0,25,review,Margaret Allen,Margaret Allen,AcquiredCo,GlobalTech,fuzzy_name
GT-004944,AC-002206,100.0,26,review,Richard Perez,Richard Perez,GlobalTech,AcquiredCo,fuzzy_name
AC-001662,GT-005755,100.0,26,review,Alexander Parker,Alexander Parker,AcquiredCo,GlobalTech,fuzzy_name
AC-000214,GT-009142,100.0,27,review,Raymond Reeves,Raymond Reeves,AcquiredCo,GlobalTech,fuzzy_name
AC-001569,GT-006784,100.0,27,review,Jonathan Phillips,Jonathan Phillips,AcquiredCo,GlobalTech,fuzzy_name
GT-002403,AC-000440,100.0,27,review,Nicole Collins,Nicole Collins,GlobalTech,AcquiredCo,fuzzy_name
GT-000911,AC-002608,100.0,28,review,Charles Parker,Charles Parker,GlobalTech,AcquiredCo,fuzzy_name
AC-002635,GT-000900,100.0,28,review,Jose Shelton,Jose Shelton,AcquiredCo,GlobalTech,fuzzy_name
GT-004561,AC-002390,100.0,28,review,Joseph Mason,Joseph Mason,GlobalTech,AcquiredCo,fuzzy_name
GT-001215,AC-002091,100.0,29,review,Alexander Burns,Alexander Burns,GlobalTech,AcquiredCo,fuzzy_name
GT-007275,AC-002309,100.0,30,review,Melissa Edwards,Melissa Edwards,GlobalTech,AcquiredCo,fuzzy_name
AC-000115,GT-011019,100.0,30,review,Christopher Scott,Christopher Scott,AcquiredCo,GlobalTech,fuzzy_name
GT-008807,AC-001378,100.0,30,review,Scott Shelton,Scott Shelton,GlobalTech,AcquiredCo,fuzzy_name
AC-001734,GT-007388,100.0,30,review,Carolyn Reed,Carolyn Reed,AcquiredCo,GlobalTech,fuzzy_name
GT-013805,AC-001018,100.0,30,review,Samuel Taylor,Samuel Taylor,GlobalTech,AcquiredCo,fuzzy_name
AC-000925,GT-010468,100.0,30,review,Donna Lewis,Donna Lewis,AcquiredCo,GlobalTech,fuzzy_name
GT-003696,AC-001108,93.75,13,review,Catherine Taylor,Katherine Taylor,GlobalTech,AcquiredCo,fuzzy_name
GT-004304,AC-001423,93.33,1,review,Brandon Martin,Brandon Martinez,GlobalTech,AcquiredCo,fuzzy_name
AC-002458,GT-007976,92.86,19,review,Robert Martinez,Robert Martin,AcquiredCo,GlobalTech,fuzzy_name
AC-002833,GT-004652,92.31,1,review,Carol Morgan,Carolyn Morgan,AcquiredCo,GlobalTech,fuzzy_name
GT-008885,AC-001106,92.31,1,review,Mary Campbell,Gary Campbell,GlobalTech,AcquiredCo,fuzzy_name
AC-001380,GT-008482,92.31,2,review,Debra Reeves,Deborah Reeves,AcquiredCo,GlobalTech,fuzzy_name
AC-001449,GT-002890,91.67,8,review,Mary Bennett,Gary Bennett,AcquiredCo,GlobalTech,fuzzy_name
GT-001491,AC-000171,91.67,8,review,Gary Martinez,Gary Martin,GlobalTech,AcquiredCo,fuzzy_name
AC-000375,GT-008680,91.67,15,review,Debra Price,Deborah Price,AcquiredCo,GlobalTech,fuzzy_name
GT-006700,AC-000894,90.91,8,review,Amy Martinez,Amy Martin,GlobalTech,AcquiredCo,fuzzy_name
AC-001577,GT-001881,90.32,11,review,Michelle Collins,Michael Collins,AcquiredCo,GlobalTech,fuzzy_name
AC-001702,GT-007228,90.32,20,review,Donald Rodriguez,Donna Rodriguez,AcquiredCo,GlobalTech,fuzzy_name
GT-009768,AC-002042,90.32,22,review,Stephen Peterson,Steven Peterson,GlobalTech,AcquiredCo,fuzzy_name
GT-007639,AC-000592,90.32,23,review,Alexander Moreno,Alexander Moore,GlobalTech,AcquiredCo,fuzzy_name
GT-001946,AC-001998,89.66,8,review,Sarah Martinez,Sandra Martinez,GlobalTech,AcquiredCo,fuzzy_name
AC-000332,GT-004788,89.66,15,review,Patricia Garcia,Patrick Garcia,AcquiredCo,GlobalTech,fuzzy_name
GT-004585,AC-002402,88.89,3,review,Mary Crawford,Larry Crawford,GlobalTech,AcquiredCo,fuzzy_name
AC-000038,GT-008001,88.89,10,review,Gary Phillips,Larry Phillips,AcquiredCo,GlobalTech,fuzzy_name
AC-002094,GT-008453,88.89,13,review,Adam Rodriguez,Amy Rodriguez,AcquiredCo,GlobalTech,fuzzy_name
GT-001017,AC-001593,88.89,15,review,Linda Campbell,Lisa Campbell,GlobalTech,AcquiredCo,fuzzy_name
GT-013944,AC-002496,88.89,16,review,Stephen Rodriguez,Stephanie Rodriguez,GlobalTech,AcquiredCo,fuzzy_name
AC-001395,GT-009397,88.89,17,review,Stephen Warren,Steven Warren,AcquiredCo,GlobalTech,fuzzy_name
GT-009766,AC-001496,88.89,27,review,Gary Phillips,Larry Phillips,GlobalTech,AcquiredCo,fuzzy_name
GT-014034,AC-002990,88.89,29,review,Jessica Moore,Jessica Moreno,GlobalTech,AcquiredCo,fuzzy_name
AC-001945,GT-002472,88.0,1,review,Aaron Wright,Sharon Wright,AcquiredCo,GlobalTech,fuzzy_name
AC-000882,GT-008673,88.0,2,review,Daniel Reeves,Daniel Reyes,AcquiredCo,GlobalTech,fuzzy_name
GT-005655,AC-002907,88.0,10,review,Lisa Stevens,Linda Stevens,GlobalTech,AcquiredCo,fuzzy_name
GT-003712,AC-002569,88.0,12,review,Steven Moore,Stephen Moore,GlobalTech,AcquiredCo,fuzzy_name
AC-001734,GT-007607,88.0,13,review,Carolyn Reed,Carolyn Reyes,AcquiredCo,GlobalTech,fuzzy_name
GT-006380,AC-000585,88.0,19,review,Robert Reyes,Robert Reeves,GlobalTech,AcquiredCo,fuzzy_name
